Gr Liv Area,Lot Area,Total Bsmt SF,Lot Frontage,Garage Area,House Age,Total Porch SF,Overall Cond,Neighborhood,Overall Qual,MS SubClass,Mas Vnr Area,Total Bathrooms,Mo Sold,Garage Yr Blt,Sale Condition,SalePrice
1324,18494,1324.0,100.0,430.0,5,59,5,Gilbert,6,20,0.0,2.0,1,95,4,199.5
1145,3203,1145.0,43.0,437.0,4,216,5,Blmngtn,7,120,14.0,2.0,1,96,4,160.0
1269,3182,1256.0,43.0,430.0,5,310,5,Blmngtn,8,120,16.0,2.0,4,94,4,192.0
1374,13300,384.0,67.0,400.0,6,100,5,Gilbert,7,80,0.0,3.5,6,94,4,184.5
1733,8577,847.0,63.0,433.0,6,192,5,Gilbert,7,60,0.0,2.5,4,94,4,185.088
1430,7750,384.0,69.22459016393442,400.0,10,180,5,Gilbert,7,80,0.0,2.5,4,90,4,180.0
2035,9505,884.0,69.22459016393442,434.0,9,192,5,Gilbert,7,60,180.0,2.5,5,91,4,222.5
2599,14774,1393.0,108.0,779.0,11,698,5,NoRidge,9,60,165.0,2.5,5,89,4,333.168
2475,17433,1629.0,60.0,962.0,12,451,5,NoRidge,8,60,114.0,2.5,1,88,4,355.0
1720,10593,1720.0,59.0,527.0,14,450,5,NoRidge,7,20,338.0,3.0,3,86,4,260.4
2622,12256,1463.0,98.0,712.0,15,218,5,NoRidge,8,60,362.0,3.5,4,84,4,325.0
2270,11764,1152.0,92.0,671.0,3,189,7,NoRidge,8,60,348.0,2.5,4,89,4,290.0
1839,16770,1195.0,58.0,486.0,12,81,5,NoRidge,7,60,30.0,2.5,6,88,4,221.0
3238,14720,2033.0,56.0,666.0,14,369,5,NoRidge,8,50,579.0,3.5,3,86,4,410.0
1218,9215,1218.0,92.0,676.0,0,136,5,Somerst,7,20,0.0,2.0,4,99,5,204.5
1547,8640,756.0,72.0,614.0,1,214,5,Somerst,7,60,0.0,2.5,6,99,4,215.2
1566,9000,1566.0,75.0,750.0,2,312,5,Somerst,8,20,36.0,3.0,4,98,4,262.5
1947,12552,991.0,100.0,678.0,5,136,5,Somerst,7,60,0.0,2.5,5,94,4,254.9
1468,10440,1468.0,84.0,528.0,5,318,5,Somerst,6,20,0.0,3.0,5,95,4,271.5
2084,10142,956.0,76.0,618.0,6,45,5,SawyerW,7,60,0.0,3.5,1,94,4,233.0
1659,11920,831.0,70.0,484.0,6,212,5,SawyerW,7,60,122.0,2.5,4,94,4,181.0
2110,8880,948.0,69.22459016393442,463.0,8,130,5,SawyerW,7,60,0.0,3.5,5,84,4,205.0
923,8012,923.0,50.0,264.0,30,80,5,SawyerW,6,120,0.0,2.0,5,70,4,143.0
1845,11218,1055.0,70.0,462.0,18,739,5,SawyerW,6,60,0.0,2.5,5,82,4,189.0
918,7892,918.0,55.0,264.0,31,28,5,SawyerW,6,120,0.0,2.0,4,69,4,99.5
752,7175,744.0,50.0,264.0,26,443,5,SawyerW,6,120,0.0,2.0,2,74,4,125.0
1744,9453,996.0,69.22459016393442,457.0,7,678,7,SawyerW,7,60,0.0,2.5,2,83,4,194.5
1097,9672,1040.0,81.0,480.0,25,0,5,SawyerW,6,20,0.0,2.0,5,76,4,152.0
1564,8400,650.0,70.0,476.0,29,254,6,SawyerW,6,60,130.0,2.5,4,70,4,171.0
1012,9800,816.0,70.0,429.0,60,201,5,SawyerW,5,30,0.0,1.0,4,11,4,67.5
1902,8930,0.0,68.0,539.0,32,0,5,Sawyer,6,90,0.0,2.0,4,68,4,112.0
1155,11782,1109.0,88.0,576.0,15,192,7,Sawyer,5,85,0.0,2.0,6,77,4,148.0
894,8450,894.0,65.0,336.0,1,560,8,Sawyer,5,20,0.0,2.0,4,63,4,138.5
900,9819,882.0,69.22459016393442,280.0,43,0,5,Sawyer,5,20,31.0,1.0,2,60,4,122.0
1040,7500,1040.0,75.0,308.0,47,220,5,Sawyer,5,20,0.0,2.5,6,53,4,133.0
1040,6897,1040.0,69.22459016393442,260.0,0,104,8,Sawyer,5,20,0.0,2.5,4,52,4,127.0
1494,15410,1208.0,39.0,461.0,8,482,6,Sawyer,6,20,250.0,3.0,4,64,0,169.0
1923,10186,750.0,107.0,564.0,18,279,5,NoRidge,7,60,0.0,3.5,6,82,4,190.0
2349,13143,1231.0,85.0,762.0,17,162,5,NoRidge,8,60,504.0,3.5,6,83,4,362.5
2225,11134,1390.0,88.0,713.0,17,228,5,NoRidge,8,60,180.0,3.5,6,82,4,285.0
1488,4835,1488.0,25.0,506.0,5,218,5,Somerst,7,120,0.0,3.0,3,94,4,260.0
1680,3515,840.0,39.0,588.0,6,111,5,Somerst,7,160,0.0,2.5,1,94,4,190.0
1200,3215,600.0,30.0,480.0,6,172,5,Somerst,7,160,120.0,2.5,4,94,4,155.0
1200,3182,600.0,30.0,480.0,5,172,5,Somerst,7,160,0.0,2.5,6,94,4,151.0
1200,2544,600.0,24.0,480.0,5,172,5,Somerst,7,160,0.0,3.5,2,94,4,149.5
1236,2544,600.0,24.0,480.0,5,166,5,Somerst,6,160,216.0,3.5,5,95,4,152.0
1478,4403,1470.0,69.22459016393442,484.0,1,144,5,Somerst,7,20,432.0,3.5,6,99,5,222.0
1573,2117,756.0,69.22459016393442,440.0,10,32,5,Somerst,6,160,216.0,2.5,6,90,4,177.5
1512,2980,756.0,69.22459016393442,440.0,10,32,5,Somerst,6,160,1159.0,3.5,5,90,4,177.0
1416,2572,696.0,24.0,484.0,11,44,5,Somerst,7,160,0.0,3.5,5,89,4,155.0
1080,2403,530.0,69.22459016393442,496.0,7,50,5,Somerst,7,160,0.0,2.5,6,93,4,147.11
1418,12853,1642.0,57.0,852.0,0,576,5,Somerst,8,20,0.0,2.5,4,100,5,267.916
1848,7379,975.0,68.0,592.0,10,464,5,Somerst,8,60,0.0,3.5,4,90,4,254.0
788,4420,728.0,30.0,484.0,30,175,5,Greens,8,120,0.0,2.0,6,70,4,155.0
1226,3880,1226.0,40.0,484.0,32,301,6,Greens,8,120,0.0,2.0,1,68,4,206.0
1479,13517,725.0,69.22459016393442,475.0,5,44,8,Sawyer,6,60,289.0,2.5,3,66,4,130.5
1492,8000,1492.0,80.0,596.0,8,414,5,Somerst,7,20,0.0,3.0,4,92,4,230.0
1829,10456,1829.0,69.22459016393442,535.0,43,76,6,NWAmes,6,20,120.0,3.0,5,57,4,218.5
2495,10791,1280.0,80.0,660.0,17,256,5,NWAmes,6,60,0.0,3.5,3,83,4,243.5
1610,10603,1610.0,69.22459016393442,480.0,9,236,7,NWAmes,6,20,28.0,3.0,2,67,4,205.0
1891,18837,1224.0,69.22459016393442,678.0,32,69,5,NWAmes,6,50,0.0,3.5,4,68,4,212.5
1714,10421,980.0,80.0,496.0,22,450,5,NWAmes,7,60,42.0,2.5,3,78,4,196.5
1381,9360,1161.0,78.0,676.0,4,0,7,NWAmes,6,20,0.0,2.5,3,62,4,197.5
1645,9600,715.0,80.0,441.0,39,78,6,NWAmes,6,60,0.0,2.0,6,61,4,171.0
1232,9600,1232.0,80.0,490.0,44,224,5,NAmes,5,20,172.0,2.5,4,56,4,142.25
1328,9790,1328.0,69.22459016393442,528.0,47,26,5,NWAmes,6,20,451.0,2.5,6,53,4,143.0
1225,9320,950.0,77.0,0.0,51,352,5,NAmes,4,20,0.0,2.5,1,101,4,128.95
1209,9900,1209.0,90.0,504.0,44,120,5,NAmes,5,20,0.0,2.0,4,56,4,159.0
1510,9680,1510.0,88.0,517.0,43,244,6,NAmes,5,20,268.0,3.0,4,57,4,178.9
1775,10600,533.0,69.22459016393442,480.0,46,172,5,NAmes,6,80,0.0,2.0,5,54,3,136.3
1152,14112,1152.0,69.22459016393442,484.0,46,227,7,NAmes,5,80,86.0,2.0,4,54,4,180.5
1054,8800,936.0,80.0,480.0,47,120,7,NAmes,6,85,156.0,2.0,5,53,0,137.5
1728,13260,1728.0,98.0,0.0,9,0,6,NAmes,5,90,144.0,4.0,1,101,0,84.9
1078,9717,1078.0,68.0,240.0,14,478,6,NAmes,5,20,0.0,2.0,4,40,4,142.125
2461,9724,1140.0,68.0,400.0,8,0,7,NAmes,5,50,265.0,2.0,3,84,4,197.6
1556,17360,782.0,120.0,470.0,60,150,6,NAmes,6,50,340.0,2.0,1,39,4,172.5
858,7207,858.0,50.0,0.0,2,117,7,BrkSide,5,20,0.0,2.0,2,101,4,116.5
1306,5350,728.0,55.0,0.0,44,263,2,BrkSide,3,30,0.0,1.0,5,101,4,76.5
1063,9920,1056.0,80.0,280.0,56,164,5,NAmes,5,20,110.0,2.0,2,44,4,128.0
1520,9600,1156.0,80.0,364.0,38,189,6,NAmes,6,80,164.0,2.0,3,45,4,153.0
1268,7800,1268.0,78.0,244.0,56,98,6,NAmes,5,20,200.0,1.0,3,44,4,132.0
1128,11380,1080.0,75.0,315.0,2,238,8,NAmes,6,85,216.0,2.0,1,56,4,178.0
2274,11600,1105.0,80.0,480.0,50,0,5,NAmes,5,90,361.0,2.0,1,50,4,154.3
2207,19900,1947.0,69.22459016393442,576.0,21,301,5,NAmes,7,20,287.0,3.0,7,60,4,180.0
1888,16492,1517.0,137.0,578.0,8,0,6,NAmes,6,20,0.0,2.5,6,56,4,190.0
1604,8267,1604.0,70.0,576.0,52,42,5,NAmes,5,90,0.0,2.0,3,48,4,135.0
1480,8197,1480.0,70.0,620.0,1,325,5,NAmes,7,20,506.0,3.0,2,93,4,214.0
1143,8050,1143.0,69.22459016393442,308.0,51,0,5,NAmes,5,20,150.0,2.0,5,49,4,136.0
1700,10552,1398.0,70.0,447.0,51,38,5,NAmes,5,20,0.0,2.0,4,49,4,165.5
1314,8400,1314.0,70.0,294.0,53,250,6,NAmes,5,20,0.0,2.0,6,47,4,145.0
1194,8760,1194.0,73.0,312.0,51,120,6,NAmes,6,20,220.0,2.0,4,49,4,148.0
1188,12160,1188.0,69.22459016393442,531.0,51,0,5,NAmes,5,20,180.0,2.0,5,49,0,142.0
1264,9300,1268.0,73.0,461.0,50,143,5,NAmes,5,20,324.0,2.0,4,50,4,167.5
1206,10725,1206.0,87.0,312.0,51,21,5,NAmes,5,20,91.0,1.0,5,49,4,108.538
1580,10032,1244.0,80.0,440.0,51,188,5,NAmes,6,20,432.0,2.5,6,46,4,159.5
1337,8382,832.0,60.0,263.0,54,0,5,NAmes,4,50,0.0,1.0,2,46,4,108.0
1064,10950,864.0,60.0,318.0,58,0,7,NAmes,5,20,0.0,1.5,5,42,4,135.0
972,10895,972.0,119.0,305.0,55,205,6,NAmes,5,20,0.0,1.0,6,45,4,122.5
988,13587,988.0,70.0,264.0,52,0,5,NAmes,5,190,0.0,2.0,4,48,0,119.0
1057,7922,1057.0,68.0,246.0,3,52,7,NAmes,5,20,0.0,2.0,1,43,0,109.0
985,7898,576.0,65.0,676.0,16,0,7,NAmes,4,30,0.0,1.5,4,79,4,105.0
827,7200,0.0,60.0,392.0,3,0,7,NAmes,5,20,0.0,1.0,4,57,4,107.5
1086,10200,1086.0,85.0,490.0,7,0,7,NAmes,5,20,104.0,2.0,5,79,4,144.9
936,5868,936.0,74.0,308.0,10,240,7,NAmes,5,20,0.0,2.0,5,46,4,129.0
1458,17503,912.0,78.0,330.0,60,192,5,NAmes,6,50,0.0,1.5,1,38,0,97.5
1056,6979,1056.0,64.0,576.0,30,320,5,OldTown,6,90,0.0,2.0,6,70,4,144.0
1287,9830,1063.0,69.22459016393442,576.0,4,563,7,NAmes,5,20,0.0,2.0,3,87,4,162.0
2978,11275,710.0,96.0,564.0,3,240,7,NAmes,7,80,300.0,2.5,6,51,4,242.0
1224,8064,816.0,60.0,280.0,6,414,8,NAmes,6,50,0.0,2.0,5,40,4,132.0
1246,7500,1246.0,75.0,305.0,16,218,7,NAmes,5,20,0.0,2.5,5,49,4,154.0
1385,8520,910.0,71.0,720.0,58,0,4,NAmes,5,50,0.0,2.0,6,90,4,166.0
900,7200,900.0,60.0,576.0,10,254,7,NAmes,5,20,0.0,1.5,5,95,4,134.8
1116,10000,1116.0,87.0,440.0,48,385,6,NAmes,6,20,261.0,1.5,2,52,4,160.0
1175,7635,1175.0,81.0,484.0,50,0,6,NAmes,5,20,0.0,1.5,6,50,4,148.0
1839,7700,756.0,70.0,442.0,44,340,5,NAmes,6,60,351.0,1.5,6,56,4,155.0
1844,4800,709.0,60.0,240.0,56,84,5,OldTown,4,50,771.0,2.0,1,2,0,80.4
1140,8800,576.0,55.0,0.0,6,160,7,OldTown,4,50,0.0,1.0,6,101,4,96.5
936,4485,936.0,56.0,0.0,60,186,7,OldTown,5,30,0.0,2.0,5,101,4,109.5
1028,8960,1008.0,56.0,360.0,60,130,6,OldTown,5,30,0.0,1.0,3,18,4,115.0
1347,5805,1347.0,69.0,551.0,53,0,7,OldTown,5,20,0.0,2.5,6,47,4,143.0
1605,5790,840.0,60.0,379.0,60,202,6,OldTown,3,50,0.0,2.0,5,6,4,107.4
747,4608,747.0,47.0,220.0,60,0,6,OldTown,4,30,0.0,1.0,6,35,4,80.0
804,7200,788.0,60.0,240.0,18,154,7,OldTown,5,30,294.0,2.0,2,31,0,119.0
1316,5500,926.0,50.0,484.0,9,0,7,OldTown,5,50,0.0,2.0,4,64,4,130.0
1251,6900,827.0,50.0,240.0,10,0,7,OldTown,6,45,0.0,1.0,1,29,4,119.0
1633,11851,1027.0,69.0,240.0,1,226,7,OldTown,5,50,0.0,1.0,6,38,4,129.0
1245,8239,1008.0,69.22459016393442,315.0,48,334,6,OldTown,5,50,0.0,1.0,3,52,4,100.0
832,9656,678.0,68.0,780.0,40,0,2,OldTown,2,30,0.0,1.0,6,19,0,12.789
720,8520,624.0,60.0,484.0,7,106,8,OldTown,6,30,0.0,1.0,5,95,4,105.9
1566,9600,930.0,60.0,288.0,7,528,9,OldTown,8,70,0.0,2.0,4,21,0,150.0
1652,10800,686.0,60.0,416.0,60,196,6,OldTown,5,50,0.0,3.0,6,51,4,139.0
2268,9000,346.0,50.0,624.0,8,108,9,OldTown,8,70,0.0,3.0,4,93,4,240.0
2256,9045,840.0,100.0,0.0,60,36,3,OldTown,5,190,0.0,2.0,6,101,0,76.5
1236,7407,912.0,90.0,923.0,14,316,7,OldTown,6,20,0.0,2.0,4,47,4,149.7
1363,7740,622.0,60.0,528.0,60,168,7,OldTown,4,70,0.0,1.0,6,56,4,125.5
2290,11340,777.0,60.0,560.0,60,114,6,OldTown,4,190,0.0,2.0,4,61,4,122.5
1470,10560,738.0,60.0,624.0,16,0,7,OldTown,6,70,0.0,1.5,6,60,4,140.75
1612,5830,988.0,53.0,363.0,13,0,6,BrkSide,5,50,0.0,1.5,3,40,4,128.5
2068,7793,1108.0,69.22459016393442,315.0,5,60,7,BrkSide,7,75,0.0,1.5,5,19,4,209.5
765,5000,765.0,50.0,200.0,60,176,7,BrkSide,4,30,0.0,2.0,4,17,4,87.0
1132,6000,608.0,50.0,240.0,60,128,7,BrkSide,6,50,0.0,2.0,4,30,0,134.0
1196,6000,572.0,50.0,576.0,60,0,6,BrkSide,6,50,0.0,2.0,3,63,4,128.0
1453,6360,835.0,53.0,240.0,60,183,6,BrkSide,5,50,300.0,1.5,3,33,4,132.0
1416,6000,780.0,50.0,312.0,60,269,7,BrkSide,6,50,0.0,1.5,3,38,4,139.9
1040,6240,528.0,52.0,624.0,30,338,7,BrkSide,5,50,0.0,1.0,5,69,4,123.9
1536,6240,928.0,52.0,480.0,60,10,5,BrkSide,5,50,0.0,2.0,3,21,4,138.4
1068,6120,1124.0,51.0,288.0,60,128,5,OldTown,6,30,0.0,2.0,3,14,4,109.5
1710,10300,576.0,50.0,480.0,60,87,6,OldTown,7,70,0.0,2.0,4,80,4,140.0
1962,8094,888.0,57.0,572.0,60,524,5,OldTown,4,50,0.0,1.5,6,6,4,149.5
1560,12900,780.0,60.0,0.0,1,512,8,OldTown,6,70,0.0,1.5,5,101,4,159.9
1324,3068,662.0,52.0,180.0,17,112,8,OldTown,6,70,0.0,1.5,2,11,4,122.0
816,8472,816.0,110.0,516.0,47,106,5,IDOTRR,5,90,0.0,2.0,5,53,4,110.0
1092,5600,0.0,70.0,0.0,60,0,5,IDOTRR,4,190,0.0,2.0,7,101,4,55.0
1812,7630,360.0,76.0,672.0,14,384,9,OldTown,5,190,0.0,2.0,5,89,4,140.0
2403,24090,1032.0,69.22459016393442,349.0,60,374,7,ClearCr,7,70,0.0,2.0,6,31,4,244.4
1675,15263,1422.0,100.0,365.0,51,132,5,ClearCr,5,20,90.0,2.0,5,49,4,173.0
1224,10632,689.0,72.0,180.0,60,248,3,ClearCr,5,50,0.0,1.5,1,8,4,107.5
1392,9900,1212.0,60.0,0.0,60,168,4,SWISU,5,190,0.0,2.0,2,101,4,100.0
919,6001,600.0,65.0,231.0,60,45,5,SWISU,6,50,0.0,1.0,3,31,4,95.0
1884,6449,707.0,69.22459016393442,0.0,60,239,1,SWISU,4,70,0.0,1.5,3,101,0,93.369
1680,6048,856.0,60.0,450.0,60,200,7,SWISU,5,190,0.0,3.0,6,4,4,114.9
1020,6342,780.0,54.0,0.0,14,176,8,Sawyer,5,50,0.0,1.0,5,101,4,94.0
1832,10773,1832.0,72.0,0.0,43,58,3,Sawyer,4,90,72.0,4.0,5,101,4,136.0
1768,10778,1768.0,72.0,0.0,42,0,5,Sawyer,4,90,0.0,2.0,4,101,4,136.5
1039,11625,1039.0,75.0,504.0,45,0,4,Sawyer,5,190,0.0,2.5,4,55,4,131.5
1392,11341,1392.0,69.22459016393442,528.0,14,95,6,Sawyer,5,20,180.0,2.5,5,47,4,121.5
912,8521,912.0,70.0,336.0,43,0,5,Sawyer,5,20,0.0,1.0,5,64,4,125.0
1060,8246,1060.0,69.22459016393442,270.0,9,496,8,Sawyer,5,20,0.0,2.0,5,58,4,154.0
892,7800,864.0,65.0,416.0,2,0,7,Sawyer,5,20,47.0,2.0,6,56,4,137.9
1352,9364,663.0,80.0,299.0,41,415,7,Sawyer,6,60,143.0,1.5,3,59,4,158.0
864,7832,864.0,65.0,280.0,42,226,5,Sawyer,5,20,0.0,2.0,5,59,4,137.25
1373,7424,1319.0,69.22459016393442,591.0,32,0,5,Sawyer,5,90,0.0,2.0,5,68,4,160.25
1440,11227,720.0,86.0,480.0,42,230,5,Sawyer,5,60,0.0,1.5,3,58,4,163.0
1386,11616,672.0,69.22459016393442,440.0,32,335,5,Sawyer,6,60,328.0,2.5,4,68,0,158.9
2260,14000,1306.0,80.0,533.0,13,340,5,ClearCr,7,60,0.0,3.5,4,86,4,328.0
1483,20062,1420.0,69.22459016393442,690.0,9,496,7,ClearCr,7,20,0.0,2.5,4,67,4,270.0
756,9259,660.0,94.0,440.0,60,80,4,Sawyer,4,30,0.0,1.0,6,35,4,85.0
1067,9600,1067.0,60.0,436.0,15,290,7,Sawyer,4,20,0.0,2.0,2,86,4,128.0
1524,23595,1332.0,69.22459016393442,586.0,31,268,6,ClearCr,7,40,0.0,2.5,4,69,4,260.0
1981,17082,1117.0,69.22459016393442,522.0,18,440,5,ClearCr,6,60,288.0,3.5,5,68,4,230.0
1610,18600,972.0,124.0,480.0,20,60,4,Edwards,3,50,0.0,2.5,6,29,4,124.0
835,10625,458.0,85.0,366.0,60,77,5,Edwards,5,30,0.0,1.0,5,11,0,83.0
1074,11479,663.0,65.0,467.0,23,104,7,Edwards,6,20,0.0,2.0,6,77,4,144.5
1144,9571,1144.0,68.0,596.0,54,44,6,Edwards,5,20,0.0,2.0,6,46,4,129.0
1531,9350,756.0,50.0,209.0,31,0,6,Edwards,4,50,0.0,1.0,6,37,4,127.0
1172,9525,1172.0,75.0,366.0,12,240,7,Edwards,5,20,0.0,2.0,6,44,4,128.0
1212,10420,1212.0,83.0,460.0,1,122,5,Edwards,6,20,0.0,2.0,3,99,4,186.0
1508,17485,1508.0,44.0,572.0,0,0,5,Edwards,7,20,96.0,2.0,1,99,5,308.03
1298,11200,1250.0,69.22459016393442,504.0,46,144,3,Edwards,5,20,0.0,2.0,6,54,4,114.0
930,11100,0.0,60.0,308.0,4,0,7,Edwards,4,20,0.0,1.0,4,36,0,84.9
1732,9206,741.0,77.0,476.0,25,238,5,SawyerW,6,60,336.0,2.5,6,75,4,178.0
1433,11980,1433.0,83.0,528.0,23,544,5,SawyerW,7,20,177.0,2.5,6,77,4,270.0
1802,12361,946.0,87.0,1017.0,17,542,7,SawyerW,6,60,85.0,3.0,5,90,4,218.0
1949,9938,1050.0,80.0,574.0,16,246,5,SawyerW,7,60,246.0,3.5,6,83,4,236.0
996,9069,936.0,73.0,564.0,18,120,6,SawyerW,6,85,0.0,2.0,4,82,4,147.0
1694,10475,1694.0,64.0,776.0,2,193,5,CollgCr,8,20,72.0,2.0,2,98,4,245.35
1208,6762,1187.0,64.0,632.0,4,166,5,CollgCr,7,20,24.0,3.0,2,96,4,206.0
1226,10402,1226.0,94.0,740.0,1,36,5,CollgCr,7,20,0.0,2.0,5,99,4,198.9
1222,7360,1222.0,64.0,615.0,0,54,5,CollgCr,7,20,80.0,2.0,3,99,4,187.0
3222,12376,1673.0,90.0,594.0,20,367,5,SawyerW,7,60,0.0,4.0,5,80,4,320.0
1445,14235,676.0,82.0,484.0,17,59,8,SawyerW,6,50,0.0,2.0,3,47,4,138.5
1052,8816,1010.0,80.0,440.0,39,0,7,ClearCr,6,80,80.0,2.0,6,61,4,155.0
965,11105,870.0,82.0,580.0,14,71,5,CollgCr,5,85,0.0,2.0,7,88,4,159.0
1692,9337,878.0,69.22459016393442,513.0,12,39,5,CollgCr,7,60,0.0,2.5,4,87,4,191.0
1682,8750,804.0,70.0,523.0,12,77,5,CollgCr,6,60,116.0,2.5,6,88,4,200.5
1026,15240,1026.0,38.0,308.0,6,401,8,CollgCr,5,20,0.0,2.5,6,67,4,150.0
1392,10900,689.0,69.22459016393442,299.0,33,36,7,CollgCr,6,60,153.0,1.5,3,67,4,161.75
894,10650,894.0,75.0,308.0,34,365,6,CollgCr,5,20,0.0,2.0,2,66,4,128.2
876,7480,876.0,68.0,484.0,38,0,6,CollgCr,5,20,0.0,2.0,6,67,4,127.0
1978,10389,1978.0,80.0,850.0,7,213,5,CollgCr,8,20,320.0,3.5,5,93,4,318.0
1601,11423,1581.0,69.22459016393442,670.0,8,180,5,CollgCr,8,20,479.0,3.0,5,91,4,272.0
1829,9548,941.0,44.0,613.0,7,231,6,CollgCr,7,60,223.0,3.5,1,93,4,237.0
2098,9375,1040.0,75.0,621.0,13,369,5,CollgCr,7,60,0.0,2.5,4,87,4,240.0
