MS SubClass,MS Zoning,Lot Frontage,Lot Area,Street,Alley,Lot Shape,Land Contour,Utilities,Lot Config,Land Slope,Neighborhood,Condition 1,Condition 2,Bldg Type,House Style,Overall Qual,Overall Cond,Roof Style,Roof Matl,Exterior 1st,Exterior 2nd,Mas Vnr Type,Mas Vnr Area,Exter Qual,Exter Cond,Foundation,Bsmt Qual,Bsmt Cond,Bsmt Exposure,BsmtFin Type 1,BsmtFin Type 2,Total Bsmt SF,Heating,Heating QC,Central Air,Electrical,Gr Liv Area,Bedroom AbvGr,Kitchen AbvGr,Kitchen Qual,Functional,Fireplaces,Fireplace Qu,Garage Type,Garage Yr Blt,Garage Finish,Garage Area,Garage Qual,Garage Cond,Paved Drive,Pool Area,Pool QC,Fence,Misc Feature,Misc Val,Mo Sold,Sale Type,Sale Condition,SalePrice,House Age,Total Bathrooms,Total Porch SF,Log Gr Liv Area
20,RL,69.22459016393442,7980,Pave,no_access,IR1,Lvl,AllPub,Inside,Gtl,Gilbert,Norm,Norm,1Fam,1Story,6,7,Gable,CompShg,HdBoard,HdBoard,None,0.0,TA,Gd,PConc,Gd,TA,No,TA,Unf,1168.0,GasA,Ex,Y,SBrkr,1187,3,1,TA,Typ,0,no_fireplace,Attchd,1992.0,Fin,420.0,TA,TA,Y,0,no_pool,GdPrv,Shed,500,3,WD ,Normal,185000,3,3.0,504,7.079184394609668
60,RL,63.0,8402,Pave,no_access,IR1,Lvl,AllPub,Inside,Gtl,Gilbert,Norm,Norm,1Fam,2Story,6,5,Gable,CompShg,VinylSd,VinylSd,None,0.0,TA,TA,PConc,Gd,TA,No,TA,Unf,789.0,GasA,Gd,Y,SBrkr,1465,3,1,TA,Typ,1,Gd,Attchd,1998.0,Fin,393.0,TA,TA,Y,0,no_pool,no_fence,no_misc,0,5,WD ,Normal,180400,12,2.5,75,7.289610521451167
20,RL,85.0,10176,Pave,no_access,Reg,Lvl,AllPub,Inside,Gtl,Gilbert,Norm,Norm,1Fam,1Story,7,5,Gable,CompShg,HdBoard,HdBoard,None,0.0,TA,TA,PConc,Gd,TA,Gd,TA,Unf,1300.0,GasA,Gd,Y,SBrkr,1341,2,1,Gd,Typ,1,Po,Attchd,1990.0,Unf,506.0,TA,TA,Y,0,no_pool,no_fence,no_misc,0,2,WD ,Normal,171500,20,2.5,192,7.201170883281678
120,RL,69.22459016393442,6820,Pave,no_access,IR1,Lvl,AllPub,Corner,Gtl,StoneBr,Norm,Norm,TwnhsE,1Story,8,5,Gable,CompShg,HdBoard,HdBoard,None,0.0,Gd,TA,PConc,Gd,TA,Av,TA,BLQ,1488.0,GasA,TA,Y,SBrkr,1502,1,1,Gd,Typ,0,no_fireplace,Attchd,1985.0,RFn,528.0,TA,TA,Y,0,no_pool,no_fence,no_misc,0,6,WD ,Normal,212000,25,2.5,194,7.31455283232408
20,RL,88.0,11394,Pave,no_access,Reg,Lvl,AllPub,Corner,Gtl,StoneBr,Norm,Norm,1Fam,1Story,9,2,Hip,CompShg,VinylSd,VinylSd,Stone,350.0,Gd,TA,PConc,Ex,TA,Av,TA,Unf,1856.0,GasA,Ex,Y,SBrkr,1856,1,1,Ex,Typ,1,Ex,Attchd,2010.0,Fin,834.0,TA,TA,Y,0,no_pool,no_fence,no_misc,0,6,New,Partial,394432,0,2.5,113,7.526178913346146
20,RL,140.0,19138,Pave,no_access,Reg,Lvl,AllPub,Corner,Gtl,Gilbert,Norm,Norm,1Fam,1Story,4,5,Gable,CompShg,VinylSd,VinylSd,None,0.0,TA,TA,CBlock,TA,TA,No,TA,Unf,864.0,GasA,Ex,Y,SBrkr,864,2,1,TA,Typ,0,no_fireplace,Detchd,1951.0,Unf,400.0,TA,TA,Y,0,no_pool,no_fence,no_misc,0,6,WD ,Normal,141000,59,1.0,0,6.761572768804055
20,RL,85.0,13175,Pave,no_access,Reg,Lvl,AllPub,Inside,Gtl,NWAmes,Norm,Norm,1Fam,1Story,6,6,Gable,CompShg,Plywood,Plywood,Stone,119.0,TA,TA,CBlock,Gd,TA,No,TA,Rec,1542.0,GasA,TA,Y,SBrkr,2073,3,1,TA,Min1,2,TA,Attchd,1978.0,Unf,500.0,TA,TA,Y,0,no_pool,MnPrv,no_misc,0,2,WD ,Normal,210000,22,3.0,349,7.636752112435779
20,RL,105.0,11751,Pave,no_access,IR1,Lvl,AllPub,Inside,Gtl,NWAmes,Norm,Norm,1Fam,1Story,6,6,Hip,CompShg,Plywood,Plywood,BrkFace,480.0,TA,TA,CBlock,Gd,TA,No,TA,Unf,1844.0,GasA,Ex,Y,SBrkr,1844,3,1,TA,Typ,1,TA,Attchd,1977.0,RFn,546.0,TA,TA,Y,0,no_pool,MnPrv,no_misc,0,1,COD,Normal,190000,33,2.0,122,7.519692404116539
85,RL,85.0,10625,Pave,no_access,Reg,Lvl,AllPub,Inside,Gtl,NWAmes,Norm,Norm,1Fam,SFoyer,7,6,Gable,CompShg,Plywood,Plywood,BrkFace,81.0,TA,TA,CBlock,Gd,TA,Gd,TA,LwQ,1053.0,GasA,TA,Y,SBrkr,1173,3,1,Gd,Typ,2,TA,Attchd,1974.0,RFn,528.0,TA,TA,Y,0,no_pool,MnPrv,no_misc,0,1,WD ,Family,170000,36,3.0,120,7.067319848653476
60,FV,69.22459016393442,7500,Pave,no_access,Reg,Lvl,AllPub,Inside,Gtl,Somerst,Norm,Norm,1Fam,2Story,7,5,Gable,CompShg,VinylSd,VinylSd,None,0.0,Gd,TA,PConc,Gd,TA,No,TA,Unf,814.0,GasA,Ex,Y,SBrkr,1674,3,1,Gd,Typ,0,no_fireplace,Attchd,2000.0,RFn,663.0,TA,TA,Y,0,no_pool,no_fence,no_misc,0,1,WD ,Normal,216000,10,3.5,96,7.422971251049421
20,RL,69.22459016393442,11241,Pave,no_access,IR1,Lvl,AllPub,CulDSac,Gtl,NAmes,Norm,Norm,1Fam,1Story,6,7,Gable,CompShg,Wd Sdng,Wd Sdng,BrkFace,180.0,TA,TA,CBlock,TA,TA,No,TA,Unf,1004.0,GasA,Ex,Y,SBrkr,1004,2,1,TA,Typ,1,TA,Attchd,1970.0,Fin,480.0,TA,TA,Y,0,no_pool,no_fence,Shed,700,3,WD ,Normal,149000,40,2.0,0,6.911747300251674
20,RL,69.22459016393442,12537,Pave,no_access,IR1,Lvl,AllPub,CulDSac,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,6,Gable,CompShg,VinylSd,VinylSd,None,0.0,TA,TA,CBlock,TA,TA,No,TA,Unf,1078.0,GasA,Ex,Y,SBrkr,1078,3,1,TA,Typ,1,Fa,Attchd,1971.0,Fin,500.0,TA,TA,Y,0,no_pool,no_fence,no_misc,0,4,WD ,Normal,149900,2,2.5,0,6.982862751468942
20,RL,65.0,8450,Pave,no_access,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,6,Gable,CompShg,VinylSd,VinylSd,None,0.0,TA,TA,CBlock,TA,TA,No,TA,Unf,1056.0,GasA,Ex,Y,SBrkr,1056,3,1,TA,Typ,1,Fa,Attchd,1968.0,Unf,304.0,TA,TA,Y,0,no_pool,no_fence,no_misc,0,7,WD ,Normal,142000,42,2.0,269,6.962243464266207
20,RL,70.0,8400,Pave,no_access,Reg,Lvl,AllPub,Corner,Gtl,NAmes,Norm,Norm,1Fam,1Story,4,5,Gable,CompShg,Plywood,Plywood,None,0.0,TA,TA,CBlock,TA,TA,No,TA,Rec,882.0,GasA,TA,Y,SBrkr,882,2,1,TA,Typ,0,no_fireplace,Attchd,1970.0,Fin,525.0,TA,TA,Y,0,no_pool,MnPrv,no_misc,0,4,WD ,Normal,126000,40,2.0,240,6.782192056006791
20,RL,70.0,10500,Pave,no_access,Reg,Lvl,AllPub,FR2,Gtl,NAmes,Norm,Norm,1Fam,1Story,4,5,Gable,CompShg,HdBoard,HdBoard,None,0.0,TA,TA,CBlock,TA,TA,No,TA,Unf,864.0,GasA,TA,Y,SBrkr,864,3,1,TA,Typ,1,Po,no_garage,no_garage,no_garage,0.0,no_garage,no_garage,Y,0,no_pool,no_fence,no_misc,0,4,Con,Normal,115000,39,1.0,0,6.761572768804055
120,RH,26.0,5858,Pave,no_access,IR1,Lvl,AllPub,FR2,Gtl,NAmes,Norm,Norm,TwnhsE,1Story,7,5,Gable,CompShg,MetalSd,MetalSd,None,0.0,Gd,TA,PConc,Gd,TA,No,TA,BLQ,1405.0,GasA,Ex,Y,SBrkr,1337,2,1,Gd,Typ,1,Fa,Attchd,1999.0,Fin,511.0,TA,TA,Y,0,no_pool,no_fence,no_misc,0,6,WD ,Normal,184000,11,3.0,271,7.198183577101943
160,RM,21.0,1680,Pave,no_access,Reg,Lvl,AllPub,Inside,Gtl,BrDale,Norm,Norm,Twnhs,2Story,6,5,Gable,CompShg,HdBoard,HdBoard,BrkFace,504.0,TA,TA,CBlock,TA,TA,No,TA,Unf,483.0,GasA,TA,Y,SBrkr,987,2,1,TA,Typ,0,no_fireplace,Detchd,1971.0,Unf,264.0,TA,TA,Y,0,no_pool,no_fence,no_misc,0,2,COD,Normal,96000,39,1.5,275,6.894670039433482
160,RM,21.0,1680,Pave,no_access,Reg,Lvl,AllPub,Inside,Gtl,BrDale,Norm,Norm,Twnhs,2Story,5,5,Gable,CompShg,HdBoard,HdBoard,BrkFace,492.0,TA,TA,CBlock,TA,TA,No,TA,Unf,525.0,GasA,TA,Y,SBrkr,1092,3,1,TA,Typ,0,no_fireplace,Detchd,1997.0,Unf,320.0,TA,TA,Y,0,no_pool,no_fence,no_misc,0,3,WD ,Normal,105500,39,1.5,0,6.9957661563048505
160,RM,21.0,1680,Pave,no_access,Reg,Lvl,AllPub,Inside,Gtl,BrDale,Norm,Norm,Twnhs,2Story,6,5,Gable,CompShg,HdBoard,ImStucc,BrkFace,381.0,TA,TA,CBlock,TA,TA,No,TA,Unf,525.0,GasA,TA,Y,SBrkr,1092,3,1,TA,Typ,0,no_fireplace,Detchd,1971.0,Unf,264.0,TA,TA,Y,0,no_pool,no_fence,no_misc,0,3,WD ,Family,88000,39,1.5,0,6.9957661563048505
120,RL,53.0,4043,Pave,no_access,Reg,Lvl,AllPub,Inside,Gtl,NPkVill,Norm,Norm,TwnhsE,1Story,6,5,Gable,CompShg,Plywood,Plywood,None,0.0,TA,TA,CBlock,Gd,TA,No,TA,Unf,1069.0,GasA,TA,Y,SBrkr,1069,2,1,TA,Typ,1,Fa,Attchd,1977.0,RFn,440.0,TA,TA,Y,0,no_pool,no_fence,no_misc,0,7,WD ,Normal,127500,33,2.0,220,6.974478911025045
160,RL,24.0,2280,Pave,no_access,Reg,Lvl,AllPub,FR2,Gtl,NPkVill,Norm,Norm,Twnhs,2Story,6,6,Gable,CompShg,Plywood,Brk Cmn,None,0.0,TA,TA,CBlock,TA,TA,No,TA,Unf,855.0,GasA,TA,Y,SBrkr,1456,3,1,Gd,Typ,1,TA,Attchd,1975.0,Unf,440.0,TA,TA,Y,0,no_pool,no_fence,no_misc,0,6,WD ,Normal,149900,35,2.5,173,7.283448228756631
120,RL,24.0,2280,Pave,no_access,Reg,Lvl,AllPub,FR2,Gtl,NPkVill,Norm,Norm,Twnhs,1Story,7,6,Gable,CompShg,Plywood,Brk Cmn,None,0.0,TA,TA,CBlock,Gd,TA,No,TA,Unf,836.0,GasA,Ex,Y,SBrkr,836,2,1,TA,Typ,0,no_fireplace,Attchd,1975.0,Unf,308.0,TA,TA,Y,0,no_pool,no_fence,no_misc,0,6,WD ,Normal,120000,35,1.0,30,6.728628613084702
160,RL,24.0,2280,Pave,no_access,Reg,Lvl,AllPub,Inside,Gtl,NPkVill,Norm,Norm,Twnhs,2Story,6,5,Gable,CompShg,Plywood,Brk Cmn,None,0.0,TA,TA,CBlock,Gd,TA,No,TA,Unf,855.0,GasA,Fa,Y,SBrkr,1456,3,1,TA,Typ,1,TA,Attchd,1978.0,Unf,440.0,TA,TA,Y,0,no_pool,no_fence,no_misc,0,7,WD ,Normal,146000,32,2.5,26,7.283448228756631
60,RL,102.0,12858,Pave,no_access,IR1,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm,1Fam,2Story,9,5,Gable,CompShg,VinylSd,VinylSd,Stone,162.0,Ex,TA,PConc,Ex,TA,No,TA,Unf,1590.0,GasA,Ex,Y,SBrkr,2334,3,1,Ex,Typ,1,Gd,Attchd,2009.0,Fin,751.0,TA,TA,Y,0,no_pool,no_fence,no_misc,0,1,New,Partial,376162,0,2.5,277,7.755338812846501
20,RL,98.0,11478,Pave,no_access,Reg,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm,1Fam,1Story,8,5,Gable,CompShg,VinylSd,VinylSd,Stone,200.0,Gd,TA,PConc,Ex,TA,No,TA,Unf,1704.0,GasA,Ex,Y,SBrkr,1704,3,1,Gd,Typ,1,Gd,Attchd,2008.0,RFn,772.0,TA,TA,Y,0,no_pool,no_fence,no_misc,0,5,WD ,Normal,306000,2,3.0,50,7.440733707389261
20,RL,83.0,10159,Pave,no_access,IR1,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm,1Fam,1Story,9,5,Hip,CompShg,VinylSd,VinylSd,Stone,450.0,Ex,TA,PConc,Ex,TA,Av,TA,Unf,1930.0,GasA,Ex,Y,SBrkr,1940,3,1,Ex,Typ,1,Gd,Attchd,2010.0,Fin,606.0,TA,TA,Y,0,no_pool,no_fence,no_misc,0,4,New,Partial,395192,0,3.5,263,7.570443252057374
20,RL,94.0,12883,Pave,no_access,IR1,Lvl,AllPub,Corner,Gtl,NridgHt,Norm,Norm,1Fam,1Story,8,5,Gable,CompShg,VinylSd,VinylSd,Stone,256.0,Gd,TA,PConc,Gd,TA,No,TA,Unf,1544.0,GasA,Ex,Y,SBrkr,1544,3,1,Gd,Typ,0,no_fireplace,Attchd,2009.0,RFn,868.0,TA,TA,Y,0,no_pool,no_fence,no_misc,0,6,New,Partial,290941,0,2.0,35,7.342131730584722
20,RL,95.0,12182,Pave,no_access,Reg,Lvl,AllPub,Corner,Gtl,NridgHt,Norm,Norm,1Fam,1Story,7,5,Gable,CompShg,VinylSd,VinylSd,BrkFace,226.0,Gd,TA,PConc,Gd,TA,Mn,TA,Unf,1541.0,GasA,Ex,Y,SBrkr,1541,3,1,Gd,Typ,1,Gd,Attchd,2005.0,RFn,532.0,TA,TA,Y,0,no_pool,no_fence,no_misc,0,5,New,Partial,220000,5,2.0,70,7.340186835320115
20,RL,90.0,11520,Pave,no_access,Reg,Lvl,AllPub,Inside,Gtl,NridgHt,PosN,Norm,1Fam,1Story,9,5,Hip,CompShg,VinylSd,VinylSd,BrkFace,615.0,Gd,TA,PConc,Ex,TA,No,TA,Unf,1698.0,GasA,Ex,Y,SBrkr,1698,3,1,Ex,Typ,1,Gd,Attchd,2005.0,Fin,730.0,TA,TA,Y,0,no_pool,no_fence,no_misc,0,6,WD ,Normal,275000,5,2.0,266,7.437206366871292
20,RL,79.0,14122,Pave,no_access,IR1,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm,1Fam,1Story,8,5,Hip,CompShg,CemntBd,CmentBd,BrkFace,240.0,Gd,TA,PConc,Ex,TA,No,TA,Unf,1822.0,GasA,Ex,Y,SBrkr,1822,3,1,Ex,Typ,1,Gd,Attchd,2005.0,RFn,678.0,TA,TA,Y,0,no_pool,no_fence,no_misc,0,2,WD ,Normal,259000,4,2.0,119,7.507690077819904
20,RL,70.0,10171,Pave,no_access,IR1,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm,1Fam,1Story,7,5,Gable,CompShg,VinylSd,VinylSd,BrkFace,168.0,Gd,TA,PConc,Gd,TA,No,TA,Unf,1517.0,GasA,Ex,Y,SBrkr,1535,3,1,Gd,Typ,0,no_fireplace,Attchd,2004.0,RFn,532.0,TA,TA,Y,0,no_pool,no_fence,no_misc,0,3,WD ,Normal,214000,6,2.0,0,7.336285660021297
20,RL,100.0,12919,Pave,no_access,IR1,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm,1Fam,1Story,9,5,Hip,CompShg,VinylSd,VinylSd,Stone,760.0,Ex,TA,PConc,Ex,TA,Gd,TA,Unf,2330.0,GasA,Ex,Y,SBrkr,2364,2,1,Ex,Typ,2,Gd,Attchd,2009.0,Fin,820.0,TA,TA,Y,0,no_pool,no_fence,no_misc,0,3,New,Partial,611657,0,3.5,67,7.768110378525988
120,RL,44.0,6371,Pave,no_access,IR1,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm,TwnhsE,1Story,7,5,Gable,CompShg,VinylSd,VinylSd,Stone,128.0,Gd,TA,PConc,Gd,TA,Mn,TA,Unf,1358.0,GasA,Ex,Y,SBrkr,1358,2,1,Gd,Typ,1,Gd,Attchd,2010.0,RFn,484.0,TA,TA,Y,0,no_pool,no_fence,no_misc,0,6,New,Partial,224000,0,3.0,227,7.213768308118642
20,RL,110.0,14300,Pave,no_access,Reg,HLS,AllPub,Inside,Mod,NridgHt,Norm,Norm,1Fam,1Story,9,5,Hip,CompShg,VinylSd,VinylSd,BrkFace,1095.0,Ex,TA,PConc,Ex,TA,Gd,TA,Unf,2846.0,GasA,Ex,Y,SBrkr,2696,3,1,Ex,Typ,2,Gd,Attchd,2003.0,Fin,958.0,TA,TA,Y,0,no_pool,no_fence,no_misc,0,6,WD ,Normal,500000,6,3.5,370,7.899524472032198
60,RL,105.0,13650,Pave,no_access,Reg,Lvl,AllPub,Corner,Gtl,NridgHt,Norm,Norm,1Fam,2Story,8,5,Gable,CompShg,VinylSd,VinylSd,BrkFace,232.0,Gd,TA,PConc,Gd,TA,Gd,TA,Unf,1671.0,GasA,Ex,Y,SBrkr,2250,3,1,Gd,Typ,1,Ex,Attchd,2002.0,Fin,756.0,TA,TA,Y,0,no_pool,no_fence,no_misc,0,6,WD ,Normal,320000,8,3.5,368,7.718685495198466
120,RL,61.0,7658,Pave,no_access,Reg,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm,TwnhsE,1Story,9,5,Hip,CompShg,MetalSd,MetalSd,BrkFace,412.0,Ex,TA,PConc,Ex,TA,No,TA,Unf,1752.0,GasA,Ex,Y,SBrkr,1752,2,1,Ex,Typ,1,Gd,Attchd,2005.0,RFn,576.0,TA,TA,Y,0,no_pool,no_fence,no_misc,0,2,WD ,Normal,319900,5,3.0,278,7.468513271496337
120,RL,41.0,7132,Pave,no_access,IR1,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm,TwnhsE,1Story,8,5,Gable,CompShg,VinylSd,VinylSd,Stone,178.0,Gd,TA,PConc,Gd,TA,Mn,TA,Unf,1370.0,GasA,Ex,Y,SBrkr,1370,2,1,Gd,Typ,1,Gd,Attchd,2006.0,RFn,484.0,TA,TA,Y,0,no_pool,no_fence,no_misc,0,4,WD ,Normal,205000,4,2.0,169,7.222566018822171
160,RL,36.0,2628,Pave,no_access,Reg,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm,Twnhs,2Story,7,5,Gable,CompShg,VinylSd,Wd Shng,Stone,106.0,Gd,TA,PConc,Gd,TA,No,TA,Unf,764.0,GasA,Ex,Y,SBrkr,1626,2,1,Gd,Typ,0,no_fireplace,BuiltIn,2003.0,RFn,474.0,TA,TA,Y,0,no_pool,no_fence,no_misc,0,6,WD ,Normal,175500,7,2.5,27,7.3938782901077555
20,RL,100.0,18494,Pave,no_access,IR1,Lvl,AllPub,Corner,Gtl,Gilbert,Norm,Norm,1Fam,1Story,6,5,Gable,CompShg,VinylSd,VinylSd,None,0.0,Gd,TA,PConc,Gd,TA,No,TA,Unf,1324.0,GasA,Ex,Y,SBrkr,1324,3,1,Gd,Typ,0,no_fireplace,Attchd,2005.0,Fin,430.0,TA,TA,Y,0,no_pool,no_fence,no_misc,0,1,WD ,Normal,199500,5,2.0,59,7.188412736496954
120,RL,43.0,3203,Pave,no_access,Reg,Lvl,AllPub,Inside,Gtl,Blmngtn,Norm,Norm,TwnhsE,1Story,7,5,Gable,CompShg,VinylSd,VinylSd,BrkFace,14.0,Gd,TA,PConc,Gd,TA,Av,TA,Unf,1145.0,GasA,Ex,Y,SBrkr,1145,2,1,Gd,Typ,0,no_fireplace,Attchd,2006.0,Fin,437.0,TA,TA,Y,0,no_pool,no_fence,no_misc,0,1,WD ,Normal,160000,4,2.0,216,7.0431599159883405
120,RL,43.0,3182,Pave,no_access,Reg,Lvl,AllPub,Inside,Gtl,Blmngtn,Norm,Norm,TwnhsE,1Story,8,5,Gable,CompShg,VinylSd,VinylSd,BrkFace,16.0,Gd,TA,PConc,Gd,TA,No,TA,Unf,1256.0,GasA,Ex,Y,SBrkr,1269,2,1,Gd,Typ,1,TA,Attchd,2004.0,Fin,430.0,TA,TA,Y,0,no_pool,no_fence,no_misc,0,4,WD ,Normal,192000,5,2.0,310,7.1459844677143876
80,RL,67.0,13300,Pave,no_access,IR1,Lvl,AllPub,Inside,Gtl,Gilbert,Norm,Norm,1Fam,SLvl,7,5,Gable,CompShg,VinylSd,VinylSd,None,0.0,Gd,TA,PConc,Gd,TA,No,TA,Unf,384.0,GasA,Ex,Y,SBrkr,1374,3,1,Gd,Typ,1,Gd,BuiltIn,2004.0,Fin,400.0,TA,TA,Y,0,no_pool,no_fence,no_misc,0,6,WD ,Normal,184500,6,3.5,100,7.2254814727822945
60,RL,63.0,8577,Pave,no_access,IR1,Lvl,AllPub,Inside,Gtl,Gilbert,Norm,Norm,1Fam,2Story,7,5,Gable,CompShg,VinylSd,VinylSd,None,0.0,Gd,TA,PConc,Gd,TA,No,TA,Unf,847.0,GasA,Ex,Y,SBrkr,1733,3,1,Gd,Typ,1,Gd,BuiltIn,2004.0,Fin,433.0,TA,TA,Y,0,no_pool,no_fence,no_misc,0,4,WD ,Normal,185088,6,2.5,192,7.457609289715606
